Unnamed: 0,pickup_time,region,count
11782,2016-06-01 04:00:00,1783,2.0
12067,2016-06-01 04:00:00,2068,23.0
12068,2016-06-01 04:00:00,2069,3.0
12117,2016-06-01 04:00:00,2118,33.0
12118,2016-06-01 04:00:00,2119,3.0
12167,2016-06-01 04:00:00,2168,1.0
13574,2016-06-01 05:00:00,1075,7.0
13575,2016-06-01 05:00:00,1076,31.0
13576,2016-06-01 05:00:00,1077,17.0
13624,2016-06-01 05:00:00,1125,8.0
13625,2016-06-01 05:00:00,1126,43.0
13626,2016-06-01 05:00:00,1127,51.0
13627,2016-06-01 05:00:00,1128,59.0
13628,2016-06-01 05:00:00,1129,76.0
13629,2016-06-01 05:00:00,1130,50.0
13630,2016-06-01 05:00:00,1131,18.0
13631,2016-06-01 05:00:00,1132,1.0
13671,2016-06-01 05:00:00,1172,5.0
13672,2016-06-01 05:00:00,1173,17.0
13673,2016-06-01 05:00:00,1174,20.0
13674,2016-06-01 05:00:00,1175,5.0
13675,2016-06-01 05:00:00,1176,0.0
13676,2016-06-01 05:00:00,1177,29.0
13677,2016-06-01 05:00:00,1178,55.0
13678,2016-06-01 05:00:00,1179,100.0
13679,2016-06-01 05:00:00,1180,109.0
13680,2016-06-01 05:00:00,1181,320.0
13681,2016-06-01 05:00:00,1182,178.0
13682,2016-06-01 05:00:00,1183,14.0
13683,2016-06-01 05:00:00,1184,8.0
13720,2016-06-01 05:00:00,1221,0.0
13721,2016-06-01 05:00:00,1222,3.0
13722,2016-06-01 05:00:00,1223,8.0
13723,2016-06-01 05:00:00,1224,8.0
13724,2016-06-01 05:00:00,1225,2.0
13726,2016-06-01 05:00:00,1227,31.0
13727,2016-06-01 05:00:00,1228,91.0
13728,2016-06-01 05:00:00,1229,125.0
13729,2016-06-01 05:00:00,1230,137.0
13730,2016-06-01 05:00:00,1231,137.0
13731,2016-06-01 05:00:00,1232,109.0
13732,2016-06-01 05:00:00,1233,75.0
13733,2016-06-01 05:00:00,1234,75.0
13734,2016-06-01 05:00:00,1235,47.0
13771,2016-06-01 05:00:00,1272,2.0
13772,2016-06-01 05:00:00,1273,0.0
13773,2016-06-01 05:00:00,1274,2.0
13777,2016-06-01 05:00:00,1278,6.0
13778,2016-06-01 05:00:00,1279,7.0
13779,2016-06-01 05:00:00,1280,41.0
13780,2016-06-01 05:00:00,1281,129.0
13781,2016-06-01 05:00:00,1282,112.0
13782,2016-06-01 05:00:00,1283,26.0
13783,2016-06-01 05:00:00,1284,18.0
13784,2016-06-01 05:00:00,1285,60.0
13785,2016-06-01 05:00:00,1286,59.0
13786,2016-06-01 05:00:00,1287,25.0
13825,2016-06-01 05:00:00,1326,3.0
13826,2016-06-01 05:00:00,1327,2.0
13830,2016-06-01 05:00:00,1331,8.0
13831,2016-06-01 05:00:00,1332,100.0
13832,2016-06-01 05:00:00,1333,144.0
13833,2016-06-01 05:00:00,1334,124.0
13834,2016-06-01 05:00:00,1335,17.0
